artist,total_views,100m,avg
MC Kevinho,5188900000,12.0,0.25
Marc Anthony,5173600000,13.0,1.5
Luan Santana,5164400000,14.0,1.81
Wisin & Yandel,5158600000,14.0,1.87
Sean Paul,5116400000,11.0,1.48
G-Eazy,5114200000,8.0,0.92
Akon,5107600000,9.0,1.82
Camilo,5094400000,14.0,1.38
Jessie J,5083800000,9.0,0.66
Madonna,5062400000,11.0,1.76
Lil Wayne,5050100000,8.0,1.14
Mohamed Ramadan,5007800000,8.0,0.84
Carlos Vives,4959300000,6.0,1.12
Tyga,4941100000,7.0,1.0
Whitney Houston,4918700000,10.0,1.89
Kygo,4910100000,11.0,1.0
Hillsong Worship,4831700000,10.0,2.16
Macklemore & Ryan Lewis,4823800000,8.0,0.62
Girls' Generation,4708200000,10.0,0.72
Aventura,4707800000,16.0,2.14
Jul,4703400000,4.0,1.75
Khalid,4662600000,10.0,0.88
LMFAO,4657400000,5.0,0.55
Jesse & Joy,4655900000,10.0,1.04
Plan B,4624100000,13.0,1.25
Maná,4607000000,14.0,1.43
Flo Rida,4604600000,10.0,0.83
Machine Gun Kelly,4552100000,10.0,1.21
Grupo Firme,4523100000,14.0,3.74
ZAYN,4503500000,5.0,0.86
Simone & Simaria,4482700000,9.0,0.86
Sech,4477600000,11.0,1.1
Doja Cat,4476900000,15.0,2.26
Rahat Fateh Ali Khan,4475000000,10.0,1.74
Adexe & Nau,4462800000,8.0,0.42
Usher,4458700000,13.0,1.21
Nirvana,4453900000,7.0,1.38
Lil Pump,4440700000,11.0,0.31
Jubin Nautiyal,4428700000,6.0,1.27
Saad Lamjarred,4331200000,10.0,0.97
Kanye West,4329400000,15.0,1.0
Pablo Alborán,4326300000,11.0,1.04
Silvestre Dangond,4290600000,7.0,0.95
Rosalía,4287700000,6.0,2.25
Kenshi Yonezu,4252899999,12.0,1.49
Stray Kids,4250800000,8.0,3.8
El Chombo,4197399999,1.0,1.39
Rammstein,4193300000,12.0,1.71
Illslick,4188800000,9.0,1.27
Backstreet Boys,4175100000,9.0,1.48
Meet Bros,4173800000,12.0,1.08
Elissa,4124000000,6.0,1.86
Kevin Roldan,4076200000,11.0,1.03
Pop Smoke,4065600000,8.0,1.66
Gorillaz,4064400000,10.0,1.14
Harry Styles,4049700000,9.0,2.26
Passenger,4033400000,1.0,0.62
Morat,4011300000,8.0,2.38
Dhanush,4002000000,5.0,1.68
Hussain Al Jassmi,3984000000,7.0,1.3
Zion & Lennox,3964300000,7.0,1.17
Rae Sremmurd,3933300000,9.0,0.36
Hungria Hip Hop,3866400000,13.0,1.54
Halsey,3864100000,8.0,0.91
NCT,3809600000,9.0,1.17
Monkan Kankoon,3792600000,10.0,1.79
Atif Aslam,3782200000,9.0,1.01
Panic! at the Disco,3777900000,6.0,0.48
Céline Dion,3749300000,10.0,1.56
21 Savage,3741600000,8.0,1.1
El Alfa,3740900000,7.0,1.62
Kendrick Lamar,3728100000,12.0,0.85
Iggy Azalea,3726600000,9.0,0.34
Alejandro Fernández,3719500000,6.0,1.12
TINI,3715300000,13.0,2.17
J.Fla,3701800000,6.0,0.35
La Adictiva Banda San José de Mesillas,3687400000,7.0,1.28
System of a Down,3680400000,8.0,1.07
Bryan Adams,3668600000,10.0,1.29
Slipknot,3656300000,10.0,1.06
Kurt Hugo Schneider,3635200000,4.0,0.22
Lil Uzi Vert,3634500000,8.0,1.27
Nour Al Zain,3625100000,8.0,0.59
Melendi,3609100000,4.0,1.15
Mon Laferte,3606400000,8.0,1.4
DaBaby,3592000000,7.0,0.76
Nickelback,3578900000,11.0,0.76
Carlos Rivera,3571300000,11.0,1.22
Nelly,3570300000,7.0,1.16
Chayanne,3555500000,11.0,0.88
Yandel,3544300000,7.0,1.45
Christina Aguilera,3523300000,10.0,0.77
Dalex,3521800000,8.0,1.14
Lil Durk,3520800000,3.0,1.98
Lindsey Stirling,3509300000,8.0,0.57
Cali y El Dandee,3504600000,7.0,0.72
Ariel Camacho y Los Plebes Del Rancho,3502800000,8.0,0.58
Jonas Blue,3495900000,7.0,0.63
Yuridia,3482000000,7.0,4.55
Santa Fe Klan,3459600000,6.0,2.64
Arctic Monkeys,3433400000,6.0,1.03
Bruno e Marrone,3431900000,5.0,1.09
Violetta,3428500000,4.0,0.26
Young Thug,3425000000,8.0,0.93
John Legend,3419400000,4.0,0.52
Bebe Rexha,3400200000,5.0,0.55
Banda Los Recoditos,3399600000,11.0,0.59
Tiësto,3393000000,8.0,1.32
Melanie Martinez,3386700000,11.0,0.72
Christina Perri,3366400000,3.0,0.55
MC Livinho,3359500000,10.0,0.26
Ludmilla,3322000000,8.0,2.13
Meek Mill,3301200000,6.0,0.79
Little Big,3288300000,8.0,1.18
Marco Antonio Solís,3277000000,12.0,1.15
Pulcino Pio,3270100000,6.0,0.47
C-Kan,3269300000,7.0,0.71
Danny Ocean,3264300000,5.0,0.92
Seventeen,3260100000,3.0,2.31
Jhay Cortez,3259300000,3.0,1.12
Pharrell Williams,3258500000,6.0,0.58
Evanescence,3257000000,6.0,0.84
GOT7,3241300000,8.0,0.29
Green Day,3219400000,7.0,0.78
Cosculluela,3189600000,5.0,0.95
Alejandro Sanz,3183500000,5.0,0.68
Emiway Bantai,3168800000,7.0,0.97
Pedro Capó,3161300000,2.0,0.61
Zedd,3160800000,10.0,0.46
Stromae,3151200000,6.0,1.0
Lil Peep,3142800000,8.0,0.92
LP,3122700000,6.0,1.18
Vishal Dadlani,3122200000,9.0,0.72
Alicia Keys,3101600000,6.0,0.74
Luis Miguel,3089700000,8.0,1.24
Gucci Mane,3047300000,3.0,0.69
Abba,3045900000,7.0,1.32
Khea,3010000000,10.0,0.57
Gerardo Ortiz,2993700000,9.0,0.56
Ciara,2980900000,10.0,0.6
James Arthur,2980500000,4.0,0.86
Naiara Azevedo,2973600000,8.0,0.37
Gustavo Mioto,2969600000,7.0,1.3
Tribo da Periferia,2968800000,6.0,1.1
Armin van Buuren,2967400000,4.0,0.68
Río Roma,2956200000,8.0,0.77
