artist,total_views,100m,avg
Baby Rasta y Gringo,1295600000,1.0,0.29
Mahahing,1294700000,4.0,0.13
Gwen Stefani,1293300000,4.0,0.25
Alexis y Fido,1291700000,3.0,0.5
Billy Joel,1287100000,3.0,0.44
Emrah Karaduman,1286500000,3.0,0.15
Duke Dumont,1286300000,2.0,0.28
L-Gante,1281300000,1.0,0.58
John Newman,1278300000,1.0,0.27
Dennis,1277600000,2.0,0.15
Phil Collins,1277600000,2.0,0.37
Jhené Aiko,1274900000,2.0,0.41
El Bebeto,1271400000,2.0,0.19
Lenny Kravitz,1271400000,3.0,0.38
IZA,1270300000,5.0,0.4
Era Istrefi,1269500000,1.0,0.54
Nego do Borel,1269000000,3.0,0.06
Young M.A,1267700000,2.0,0.17
León Larregui,1264300000,4.0,0.34
SZA,1264000000,4.0,4.93
Yelawolf,1262100000,2.0,0.41
Mike WiLL Made-It,1261900000,1.0,0.12
Thomas Rhett,1261400000,2.0,0.17
Tiago PZK,1261200000,3.0,0.97
Sting,1260200000,3.0,0.55
The Neighbourhood,1255200000,1.0,0.55
Jads & Jadson,1252200000,1.0,0.23
Kim Loaiza,1252100000,4.0,1.25
Sharry Mann,1251100000,3.0,0.31
Thirty Seconds to Mars,1247200000,3.0,0.18
João Gomes,1247200000,4.0,1.73
Ayo & Teo,1247000000,2.0,0.09
WINNER,1244000000,1.0,0.12
NerdOut,1243100000,1.0,0.21
OG-ANIC,1241300000,4.0,0.19
Keyshia Cole,1241100000,5.0,0.32
Reykon,1236000000,2.0,0.16
Train,1233300000,4.0,0.2
Bruno e Barretto,1229500000,2.0,0.26
Carlos Baute,1229300000,1.0,0.24
Shaan,1229300000,2.0,0.88
Andrés Cepeda,1227400000,3.0,0.27
Florence + The Machine,1226400000,2.0,0.18
Limp Bizkit,1222200000,5.0,0.38
Severina,1222200000,1.0,0.21
Leona Lewis,1221100000,4.0,0.27
Diljit Dosanjh,1219100000,3.0,0.38
Márcia Fellipe,1215600000,2.0,0.16
Omarion,1215500000,1.0,0.16
Bastille,1215300000,1.0,0.2
Brett Young,1215300000,2.0,0.38
Simple Plan,1213800000,4.0,0.24
Robin Thicke,1209300000,1.0,0.17
Austin Mahone,1207800000,2.0,0.09
Zé Ramalho,1204700000,3.0,0.35
Nipsey Hussle,1199500000,2.0,0.3
Jowell & Randy,1198400000,1.0,0.28
Liam Payne,1192800000,3.0,0.13
Amenazzy,1191000000,1.0,0.53
2Pac,1183200000,3.0,0.38
Mabel Matiz,1182800000,2.0,0.43
Bushido,1182700000,Não informado,0.13
Nick Jonas,1182000000,2.0,0.13
Dynoro,1180300000,1.0,0.14
Victor & Leo,1178900000,2.0,0.37
Mora,1177600000,2.0,2.48
Shinedown,1175500000,1.0,0.35
Baby K,1175400000,3.0,0.16
George Ezra,1175200000,4.0,0.25
Dire Straits,1175000000,5.0,0.47
Zak Chumpae,1174700000,3.0,0.04
Dhurata Dora,1174000000,1.0,0.23
Vicentico,1167900000,3.0,0.42
Sohail Sen,1167000000,2.0,0.31
Basshunter,1166800000,2.0,0.13
Otilia,1164400000,1.0,0.12
Mr. Children,1164300000,Não informado,0.55
Nightwish,1159600000,2.0,0.36
Jax Jones,1156100000,4.0,0.13
Benny Blanco,1153800000,2.0,0.26
Residente,1153100000,3.0,0.22
Ministério Zoe,1150100000,1.0,0.32
Sabrina Carpenter,1148800000,1.0,0.42
Disclosure,1145300000,3.0,0.17
Tomorrow X Together,1145300000,4.0,0.42
N Sync,1144500000,3.0,0.38
Felipe Peláez,1141400000,2.0,0.23
Miguel Bosé,1137200000,2.0,0.34
Sade,1134800000,3.0,0.46
Bonez MC,1128100000,3.0,0.28
Yellow Claw,1127700000,3.0,0.17
James Bay,1125500000,2.0,0.18
Alec Benjamin,1125400000,1.0,0.58
Lexa,1122500000,3.0,0.14
Banda Tierra Sagrada,1122100000,2.0,0.22
Club Dogo,1121900000,Não informado,0.24
Lady Antebellum,1121700000,2.0,0.26
Kid Cudi,1120800000,3.0,0.23
The Vamps,1117100000,2.0,0.12
August Alsina,1116500000,2.0,0.18
Momoland,1113200000,2.0,0.17
Survivor,1111900000,2.0,0.39
Amit Kumar,1111800000,2.0,0.24
The Verve,1107100000,1.0,0.33
Léo Magalhães,1101800000,1.0,0.34
MIKA,1100900000,2.0,0.17
Charli XCX,1100900000,3.0,0.14
Yella Beezy,1097700000,2.0,0.22
DVBBS,1094100000,1.0,0.07
Sam Hunt,1091500000,3.0,0.12
Aitana,1085000000,4.0,0.63
Ludacris,1084200000,1.0,0.19
Edward Maya,1083300000,2.0,0.28
Simge,1082300000,4.0,0.27
Birdy,1079300000,4.0,0.2
The 1975,1077900000,Não informado,0.4
Labrinth,1077900000,3.0,0.4
Mero,1077600000,2.0,0.32
Bhad Bhabie,1077300000,2.0,0.1
Alkilados,1077300000,4.0,0.18
The Rolling Stones,1076600000,Não informado,0.28
R. City,1076400000,1.0,0.14
Ben Fero,1073700000,3.0,0.23
Bazzi,1073700000,4.0,0.19
Gloria Groove,1072800000,2.0,0.53
Weird Al Yankovic,1070800000,2.0,0.23
Lizzo,1069300000,4.0,0.36
Keane,1068700000,2.0,0.55
Dan + Shay,1068300000,3.0,0.19
Boy Panomprai,1068000000,3.0,0.18
Anavitória,1067599999,3.0,0.24
Dillon Francis,1066400000,2.0,0.12
Bích Phương,1062800000,2.0,0.45
Hoobastank,1059800000,1.0,0.31
Wale,1058099999,3.0,0.22
Gym Class Heroes,1056700000,2.0,0.4
Sido,1056500000,Não informado,0.28
Alesso,1055400000,2.0,0.17
Mumford & Sons,1054599999,1.0,0.14
Sigala,1049599999,3.0,0.17
Lauren Daigle,1048099999,2.0,0.32
Kylie Minogue,1047000000,1.0,0.41
DJ Hamida,1046400000,1.0,0.16
Miguel,1046400000,4.0,0.42
Bigflo & Oli,1046000000,1.0,0.2
Spice Girls,1045900000,1.0,0.21
DMX,1045400000,3.0,0.31
Aleyna Tilki,1045000000,3.0,0.09
Mike Bahía,1042000000,4.0,0.46
Bobby Shmurda,1041900000,1.0,0.16
Aurora,1040400000,1.0,0.9
Cher Lloyd,1036099999,5.0,0.04
Blueface,1034500000,2.0,0.24
Dev Negi,1033900000,2.0,0.23
Pipe Bueno,1032800000,4.0,0.4
Siti Badriah,1031400000,1.0,0.09
Marama,1029500000,2.0,0.16
Param Singh,1029000000,1.0,0.25
Tiziano Ferro,1028400000,Não informado,0.2
Jannine Weigel,1028400000,1.0,0.06
Oliver Tree,1028000000,1.0,2.2
Kaaris,1027599999,2.0,0.1
Eurythmics,1027099999,1.0,0.48
Rocco Hunt,1026400000,3.0,0.5
Rich The Kid,1023800000,2.0,0.11
Glass Animals,1023700000,2.0,0.79
Bryant Oden,1022900000,2.0,0.14
Enzo Rabelo,1022500000,3.0,0.15
John Mayer,1019900000,2.0,0.25
Lost Frequencies,1018600000,3.0,0.15
Potato,1017100000,1.0,0.14
The Strokes,1016500000,3.0,0.29
ScHoolboy Q,1016400000,2.0,0.12
Jasmine Sandlas,1014400000,2.0,0.2
Ghali,1014400000,2.0,0.13
Darell,1014300000,2.0,0.37
Min,1013500000,5.0,0.17
Leslie Grace,1008600000,3.0,0.13
Alonzo,1003300000,2.0,0.1
Léo Santana,1002100000,1.0,0.38
Phan Mạnh Quỳnh,998900000,2.0,0.1
Bomba Estéreo,997600000,3.0,0.18
The Offspring,995100000,1.0,0.5
Ultimo,994700000,Não informado,0.33
Humberto e Ronaldo,993400000,1.0,0.35
Leandro Borges,993000000,1.0,0.44
João Neto e Frederico,991700000,2.0,0.06
Vegedream,991300000,1.0,0.51
Alex Campos,991200000,1.0,0.48
Sasa Kovacevic,985300000,Não informado,0.12
Fedez,984900000,2.0,0.23
Trúc Nhân,981400000,3.0,0.95
IZ*ONE,979600000,2.0,0.24
Café Tacvba,977500000,1.0,0.23
DNCE,975700000,3.0,0.16
Jack Harlow,969900000,2.0,0.42
Gen Hoshino,968000000,1.0,0.17
Papa Roach,966300000,2.0,0.22
Miranda Lambert,962700000,1.0,0.22
Olly Murs,962000000,3.0,0.13
Juan Luis Guerra,960000000,1.0,0.44
Wonder Girls,958400000,2.0,0.17
K Camp,957900000,2.0,0.2
Dido,957200000,2.0,0.42
Led Zeppelin,954200000,3.0,0.44
Jay-Z,953000000,1.0,0.56
Alex Sensation,952200000,2.0,0.18
Henrique & Diego,946900000,2.0,0.06
Sonu Nigam,945700000,2.0,0.48
Soobin Hoàng Sơn,942700000,1.0,0.22
Of Monsters and Men,940800000,1.0,0.15
João Bosco e Vinícius,940200000,2.0,0.23
Yash Narvekar,938100000,2.0,0.27
Creed,934900000,3.0,0.28
Vengaboys,934800000,3.0,0.34
Pooh Shiesty,933100000,2.0,0.43
Tony Kakkar,929500000,2.0,0.14
25hours,929300000,1.0,0.15
Monsta X,927800000,1.0,5.27
Abu,925700000,1.0,0.23
Boyz II Men,925500000,4.0,0.28
Axel,922900000,2.0,0.11
GFriend,922000000,Não informado,0.11
Ivete Sangalo,921200000,Não informado,0.2
Years & Years,917500000,2.0,0.13
Rachel Platten,915200000,2.0,0.14
RKM & Ken-Y,913800000,2.0,0.17
The Wanted,912400000,2.0,0.08
Pikotaro,910400000,3.0,0.15
John Lennon,908000000,4.0,0.23
Bump of Chicken,907300000,1.0,0.25
Savage Garden,902700000,3.0,0.32
Brad Paisley,902700000,2.0,0.15
MC Doni,902600000,3.0,0.15
Apink,902500000,Não informado,0.09
Julieta Venegas,902400000,2.0,0.39
Rich Gang,902100000,2.0,0.21
Tinie Tempah,900100000,2.0,0.11
RASA,900100000,2.0,0.63
Tame Impala,894800000,3.0,0.37
Why Don't We,892300000,1.0,0.19
Busta Rhymes,889300000,1.0,0.25
Capital Cities,889200000,2.0,0.26
Mahmut Orhan,888900000,3.0,0.19
Ana Carolina,885600000,2.0,0.25
KSI,885500000,1.0,0.07
AnnenMayKantereit,883800000,Não informado,0.36
Kenny Chesney,883500000,Não informado,0.15
Keen'V,883300000,1.0,0.22
Juicy J,882600000,1.0,0.11
Fat Joe,880900000,2.0,0.23
Steve Aoki,880900000,1.0,0.06
Seether,877700000,1.0,0.25
Fly Project,876900000,1.0,0.17
Michael Bolton,873200000,3.0,0.29
AOA,873100000,Não informado,0.09
Leo Rojas,873000000,2.0,0.22
Big Ass,872500000,2.0,0.18
Jamiroquai,869000000,1.0,0.22
TLC,866900000,3.0,0.22
Jess Glynne,862400000,4.0,0.15
Kiesza,862100000,2.0,0.14
King,860700000,2.0,4.93
Jassi Gill,860700000,1.0,0.12
Hamza Namira,858800000,2.0,0.36
Delia,858100000,Não informado,0.11
Tuğçe Kandemir,858000000,3.0,0.21
KC Rebell,854800000,Não informado,0.07
Ja Rule,852000000,3.0,0.28
Culture Club,849800000,2.0,0.25
Jay Sean,849500000,2.0,0.23
Vasco Rossi,846200000,Não informado,0.14
Marco Mengoni,845900000,2.0,0.18
Lilly Wood & The Prick,839100000,1.0,0.17
Daughtry,837700000,2.0,0.26
CKay,836700000,2.0,0.79
Mr Probz,835200000,1.0,0.18
gnash,834700000,1.0,0.2
deadmau5,834200000,Não informado,0.09
Vance Joy,833700000,1.0,0.19
Altamash Faridi,831900000,1.0,0.2
Midian Lima,827200000,2.0,0.24
Tinashe,825600000,1.0,0.11
Thaeme & Thiago,824600000,Não informado,0.05
Big Time Rush,824400000,1.0,0.08
NAV,823800000,Não informado,0.14
The Prodigy,823600000,1.0,0.2
ChocQuibTown,821900000,1.0,0.1
Maite Perroni,821200000,3.0,0.14
Lil Xan,821200000,2.0,0.09
X Ambassadors,820800000,2.0,0.19
Sum 41,820700000,2.0,0.17
365 DaBand,819000000,1.0,0.1
Tony Dize,818600000,2.0,0.25
BNK48,817600000,2.0,0.09
PnB Rock,817000000,Não informado,0.13
O.T. Genasis,816700000,2.0,0.08
KYLE,815000000,2.0,0.09
Far East Movement,814900000,2.0,0.1
J Soul Brothers,813100000,1.0,0.05
Hebe Tien,811700000,1.0,0.04
The Cure,811600000,1.0,0.26
EXID,809500000,1.0,0.08
Oras Sattar,807900000,1.0,0.12
Faydee,806300000,1.0,0.15
Burak Yeter,805300000,1.0,0.19
Sekai no Owari,802900000,1.0,0.15
Kodaline,800700000,2.0,0.24
T-ara,799100000,Não informado,0.15
La Quinta Estación,797900000,1.0,0.24
Mario,797100000,2.0,0.28
Loredana Zefi,795700000,Não informado,0.09
Sophia Grace,794800000,1.0,0.03
Il Volo,794500000,1.0,0.17
Polina Gagarina,794000000,1.0,0.24
T_T,792700000,2.0,0.05
Deorro,790000000,2.0,0.1
Redfoo,789700000,2.0,0.14
Eric Clapton,789300000,2.0,0.27
SanLuis,787500000,2.0,0.19
Atitude 67,786300000,1.0,0.15
Rusherking,786100000,2.0,1.14
SCH,785300000,1.0,0.11
Måneskin,785000000,2.0,0.58
The White Stripes,784400000,1.0,0.3
Weezer,782400000,1.0,0.18
Pia Mia,782200000,1.0,0.1
Queen Naija,780500000,2.0,0.26
Niall Horan,777300000,1.0,0.11
Kalash,777200000,1.0,0.14
Douzi,775700000,Não informado,0.17
Kool & The Gang,775200000,4.0,0.23
Breaking Benjamin,774700000,1.0,0.2
M83,774000000,2.0,0.22
Stormzy,772500000,2.0,0.22
JustaTee,770900000,3.0,0.31
Nicky Romero,770100000,1.0,0.03
Spitz,765600000,1.0,0.19
AAA,764600000,2.0,0.07
GTK,763700000,2.0,0.1
Takagi & Ketra,763500000,3.0,0.08
MC Hammer,763100000,1.0,0.18
Pepe Quintana,759000000,3.0,0.15
Cascada,758700000,1.0,0.1
Kungs,758300000,1.0,0.23
Osmani Garcia,758100000,1.0,0.08
Pet Shop Boys,757500000,2.0,0.3
Bullet For My Valentine,756500000,1.0,0.16
Rich Homie Quan,755200000,2.0,0.13
Central Cee,752300000,1.0,1.57
Marcela Gándara,749700000,2.0,0.23
Alessandra Amoroso,749100000,1.0,0.16
Bob Sinclar,746900000,2.0,0.25
Irama,746000000,2.0,0.33
Keri Hilson,743500000,2.0,0.16
Çağatay Akman,742700000,2.0,0.05
Sofia Carson,742000000,3.0,0.24
O Rappa,741200000,1.0,0.19
Paulina Rubio,740300000,1.0,0.14
Tiago Iorc,739700000,2.0,0.14
La Factoría,738100000,1.0,0.22
PARTYNEXTDOOR,737600000,2.0,0.28
Ozan Doğulu,736400000,2.0,0.08
Pawni Pandey,734100000,1.0,0.2
Murat Boz,727900000,2.0,0.13
John Denver,727100000,1.0,0.18
Leonard Cohen,726700000,2.0,0.22
Utada Hikaru,723900000,Não informado,0.4
Heart,723200000,2.0,0.32
Thiago Brava,721000000,1.0,0.03
Within Temptation,719900000,1.0,0.2
A Great Big World,719500000,1.0,0.13
KAZKA,716600000,1.0,0.15
JayDaYoungan,716300000,1.0,0.29
Silva Gunbardhi,714300000,1.0,0.13
City Girls,712300000,1.0,0.19
Oriente,706500000,2.0,0.14
Andy & Lucas,703800000,2.0,0.23
Bloodhound Gang,700200000,1.0,0.1
Louis Tomlinson,699400000,1.0,0.07
Ece Seçkin,698800000,3.0,0.06
Prince,696700000,Não informado,0.35
Duran Duran,696400000,1.0,0.37
Jovanotti,696100000,Não informado,0.11
La Fouine,695900000,Não informado,0.12
Jordin Sparks,695000000,1.0,0.21
Extreme,693300000,1.0,0.22
Gabriel Diniz,692700000,2.0,0.09
Pearl Jam,691800000,2.0,0.18
The Fray,691100000,2.0,0.1
Snow Patrol,690500000,1.0,0.12
Modà,690300000,Não informado,0.14
Haikaiss,689800000,1.0,0.07
Nico & Vinz,688800000,1.0,0.16
Paty Cantú,687700000,Não informado,0.09
Travie McCoy,686400000,1.0,0.12
OrelSan,685500000,1.0,0.16
Marina and the Diamonds,684700000,1.0,0.12
Goo Goo Dolls,683900000,1.0,0.3
MC Rodolfinho,681300000,2.0,0.06
Rise Against,680500000,2.0,0.1
LOONA,680100000,Não informado,0.11
Lily Allen,679100000,2.0,0.09
Kyary Pamyu Pamyu,678200000,1.0,0.07
UB40,677400000,1.0,0.19
India Martínez,675100000,2.0,0.33
Nicole Scherzinger,674400000,1.0,0.06
Lilly Goodman,673900000,1.0,0.22
Staind,673600000,2.0,0.2
Blue,672600000,3.0,0.38
Little Big Town,672100000,2.0,0.15
t.A.T.u.,669800000,2.0,0.22
The Chipettes,668600000,1.0,0.04
Trio Parada Dura,667300000,2.0,0.3
Julia Michaels,666900000,1.0,0.08
Bảo Anh,665700000,1.0,0.08
IAmChino,665000000,1.0,0.07
Helene Fischer,664400000,Não informado,0.2
Rema,664100000,1.0,1.82
DJ Antoine,662300000,1.0,0.06
The Fugees,661400000,2.0,0.5
M.I.A.,661200000,2.0,0.14
Biel,658700000,1.0,0.02
Monica,658600000,2.0,0.21
Burak King,658300000,2.0,0.1
Mustard,658000000,2.0,0.13
Dawin,657600000,2.0,0.06
Lali,657300000,1.0,0.15
Perfume,656300000,Não informado,0.08
Isaias Saad,655400000,1.0,0.65
Sak Noel,654900000,1.0,0.1
Yemi Alade,654500000,1.0,0.13
K.A.R.D,654200000,Não informado,0.11
Ace of Base,653600000,3.0,0.28
Maxim Fadeev,653200000,2.0,0.16
Daoko,652600000,1.0,0.14
Adam Lambert,650700000,2.0,0.19
Ace Hood,650000000,1.0,0.08
KeBlack,648600000,2.0,0.06
Cleber e Cauan,648300000,1.0,0.11
Norm Ender,648000000,1.0,0.12
Feduk,645300000,2.0,0.11
Sophana,645000000,3.0,0.16
Reyli Barba,644300000,1.0,0.14
Anna Kendrick,642800000,1.0,0.04
Cro,640400000,Não informado,0.05
Madcon,640000000,3.0,0.11
Martin Solveig,639800000,2.0,0.04
Saif Nabeel,636500000,2.0,0.16
SDP,635200000,Não informado,0.14
Kevvo,632800000,1.0,0.17
Felix Jaehn,632100000,1.0,0.16
Block B,630200000,Não informado,0.05
Shiina Ringo,629700000,Não informado,0.17
BABYMETAL,628600000,1.0,0.14
Armada,626600000,2.0,0.16
Magic System,626500000,1.0,0.2
Dierks Bentley,624300000,1.0,0.1
The Black Keys,622400000,1.0,0.12
Sarah Farias,621500000,2.0,0.24
MGMT,621300000,3.0,0.17
Fabio Rovazzi,621200000,3.0,0.04
Smash Mouth,617400000,1.0,0.17
Sakanaction,615200000,1.0,0.12
Mark Forster,614500000,1.0,0.08
Summer Cem,614400000,1.0,0.07
Iyaz,613300000,2.0,0.2
Livres,612200000,1.0,0.18
Bella Poarch,611900000,2.0,0.4
Fabri Fibra,611500000,Não informado,0.14
Dean Lewis,611000000,2.0,0.45
Alanis Morissette,610700000,1.0,0.18
AWOLNATION,610200000,1.0,0.11
Tayrone,608700000,1.0,0.6
Amit Mishra,608600000,2.0,0.06
Bizzey,607400000,1.0,0.09
RIDSA,604900000,1.0,0.14
Masked Wolf,604900000,2.0,0.21
Vũ Duy Khánh,603600000,1.0,0.04
Lola Indigo,601700000,1.0,0.53
Stefflon Don,601400000,2.0,0.1
2PM,599800000,Não informado,0.07
Beast,599500000,1.0,0.07
R.I.O.,599300000,1.0,0.03
Pentagon,599200000,1.0,0.07
Noah Cyrus,597400000,2.0,0.08
Gradur,597100000,2.0,0.05
Millind Gaba,596700000,1.0,0.13
Sylwia Grzeszczak,596500000,1.0,0.11
ZAZ,596300000,Não informado,0.17
BlocBoy JB,595700000,1.0,0.07
Max Jenmana,595100000,2.0,0.07
Kat DeLuna,594600000,2.0,0.08
Louane,591800000,Não informado,0.11
Vázquez Sounds,589900000,1.0,0.04
Alexio La Bestia,587500000,2.0,0.24
Sumit Goswami,586900000,1.0,0.08
Blondie,586700000,1.0,0.31
Loubet,584800000,Não informado,0.12
BOL4,583900000,1.0,0.15
ZHU,583800000,2.0,0.18
Lil Jon,583600000,2.0,0.14
Netta,583500000,2.0,0.22
The Smashing Pumpkins,583100000,1.0,0.18
Charlie Brown Jr.,580100000,1.0,0.2
Nekfeu,579300000,1.0,0.07
Rascal Flatts,575700000,1.0,0.1
miss A,574800000,1.0,0.06
Khaled,574500000,1.0,0.27
Matchbox Twenty,573900000,1.0,0.18
DeJ Loaf,572900000,2.0,0.13
Cheat Codes,571400000,2.0,0.07
E-Girls,568200000,Não informado,0.03
Luther Vandross,565000000,2.0,0.21
Ligabue,564900000,Não informado,0.07
Girl's Day,563400000,Não informado,0.06
Enya,561300000,1.0,0.22
Zay & Zayion,559600000,1.0,0.03
Mithoon,559100000,1.0,0.21
MC Brinquedo,558400000,1.0,0.04
Emis Killa,558000000,Não informado,0.08
The Calling,557400000,1.0,0.13
Bone Thugs-N-Harmony,557200000,2.0,0.13
Hoàng Thuỳ Linh,556900000,1.0,0.58
Ahmed Chawki,556100000,2.0,0.07
Kelly Rowland,554300000,1.0,0.1
D.R.A.M.,553200000,1.0,0.05
Portugal. The Man,553000000,1.0,0.09
Scooter,551800000,Não informado,0.09
WALK THE MOON,551500000,1.0,0.08
Empire Of The Sun,551200000,3.0,0.18
George Strait,550900000,1.0,0.23
Ashanti,550300000,1.0,0.17
Aminé,548300000,1.0,0.06
Bow Wow,547400000,2.0,0.11
Rochak Kohli,546400000,1.0,0.01
Sara Bareilles,545300000,2.0,0.08
Y2K,545200000,1.0,0.11
f(x),544900000,1.0,0.04
The All-American Rejects,544700000,2.0,0.09
Kay One,544600000,2.0,0.04
Lary Over,543400000,1.0,0.05
K'Naan,541500000,1.0,0.32
Sevyn Streeter,537900000,1.0,0.11
Malú,537600000,Não informado,0.06
Bridgit Mendler,536700000,2.0,0.04
back number,536600000,1.0,0.01
Bob Dylan,535299999,Não informado,0.2
Eiffel 65,534700000,2.0,0.09
Colbie Caillat,533299999,1.0,0.07
Erol Evgin,532299999,1.0,0.08
Wanna One,531200000,1.0,0.04
GReeeeN,531100000,Não informado,0.1
Heuss L'Enfoiré,531000000,2.0,0.2
Chi Dân,528299999,1.0,0.03
Pollo,527700000,2.0,0.09
Marracash,526700000,Não informado,0.28
Pusho,526600000,1.0,0.03
Richard Marx,526000000,1.0,0.21
R-chord,524500000,Não informado,0.07
Playboi Carti,524000000,1.0,0.11
Derya Uluğ,521900000,2.0,0.1
Sławomir,521900000,1.0,0.04
UM44K,519600000,2.0,0.06
Coez,519000000,1.0,0.13
Ailee,518799999,1.0,0.09
Kemilly Santos,517000000,1.0,0.12
Sinéad O'Connor,516299999,2.0,0.25
Queens of the Stone Age,515500000,1.0,0.1
Beastie Boys,515500000,1.0,0.11
Jacob Forever,515299999,2.0,0.15
Judas Priest,514299999,Não informado,0.19
Playa Limbo,514100000,1.0,0.09
Johnny Cash,513900000,2.0,0.28
Jimi Hendrix,513600000,1.0,0.13
Soundgarden,512600000,1.0,0.14
Annalisa,511600000,Não informado,0.26
Simon & Garfunkel,510000000,1.0,0.17
Meat Loaf,508100000,1.0,0.19
Paloma Mami,508000000,2.0,0.16
Jefferson Moraes,506900000,1.0,0.06
Aun Feeble Heart,505500000,1.0,0.03
Emma Marrone,503200000,Não informado,0.08
Bonde da Stronda,502700000,1.0,0.06
Starship,499300000,2.0,0.33
K. Michelle,499000000,Não informado,0.06
Munhoz & Mariano,498600000,1.0,0.03
Lilit Hovhannisyan,498000000,1.0,0.12
Cole Swindell,496600000,1.0,0.19
The xx,496000000,Não informado,0.06
Zendaya,495100000,1.0,0.05
Hayley Kiyoko,495000000,1.0,0.07
Fleetwood Mac,494900000,Não informado,0.36
Elisa,492400000,Não informado,0.1
Zaho,492100000,1.0,0.2
OK Go,490600000,Não informado,0.04
Boef,490500000,Não informado,0.17
Momoiro Clover Z,489900000,Não informado,0.08
Lou Bega,489700000,1.0,0.16
Amir,488800000,2.0,0.14
Ayumi Hamasaki,487400000,Não informado,0.14
Young Money,487000000,1.0,0.07
Hinder,486000000,1.0,0.12
Theory of a Deadman,485400000,1.0,0.06
Rage Against The Machine,484700000,1.0,0.19
Colonel Reyel,484400000,1.0,0.04
Gülben Ergen,484300000,1.0,0.09
TVXQ,482900000,Não informado,0.07
Take That,482200000,Não informado,0.14
Las Ketchup,481900000,2.0,0.18
Andreas Gabalier,481800000,1.0,0.07
Gliss,481700000,2.0,0.02
Showtek,480900000,2.0,0.02
KARA,478700000,1.0,0.18
Diddy – Dirty Money,478300000,1.0,0.06
Deep Purple,476900000,2.0,0.18
Karmin,475100000,1.0,0.07
Vanilla Ice,474200000,1.0,0.16
Ton Carfi,473700000,2.0,0.24
Negramaro,472100000,Não informado,0.07
Nimo,472000000,Não informado,0.07
Mohombi,471200000,2.0,0.08
Retrospect,470700000,1.0,0.04
Luma Elpidio,470000000,2.0,0.12
Big Shaq,469900000,1.0,0.04
Bappi Lahiri,469900000,1.0,0.08
BTOB,468200000,Não informado,0.08
Sachet Tandon,466200000,1.0,0.12
Kell Smith,463300000,1.0,0.1
Eva,462500000,1.0,0.07
Cheryl,459300000,Não informado,0.03
Blackstreet,458700000,1.0,0.16
Fridaynight to Sunday,458400000,1.0,0.1
Hilary Duff,458200000,Não informado,0.03
Belanova,458000000,1.0,0.22
A.R. Rahman,455700000,1.0,0.07
Hương Tràm,455100000,2.0,0.06
Sam Tsui,455100000,Não informado,0.02
Akcent,451100000,1.0,0.03
Sigma,451000000,1.0,0.03
Parampara Tandon,450900000,1.0,0.11
Discopraise,450600000,1.0,0.09
MØ,449700000,1.0,0.04
Billy Currington,448700000,1.0,0.09
Grimes,448600000,Não informado,0.17
Anaïs Delva,447900000,1.0,0.05
Jaden Smith,447900000,1.0,0.04
MC Guimê,446900000,1.0,0.03
Vald,446500000,1.0,0.04
Grace,446100000,1.0,0.07
Alligatoah,445700000,Não informado,0.07
Chance the Rapper,445400000,1.0,0.05
Sugarland,442300000,1.0,0.07
Salmo,439700000,Não informado,0.09
Konshens,439700000,1.0,0.06
Ofenbach,439200000,2.0,0.08
Whitesnake,438000000,2.0,0.09
Eve,437800000,1.0,0.16
Simple Minds,434800000,1.0,0.16
Rob Zombie,433300000,1.0,0.13
Lalo Ebratt,431700000,1.0,0.06
Paloma Faith,430300000,1.0,0.37
Güliz Ayla,428100000,2.0,0.05
Francesco Gabbani,427900000,1.0,0.03
Yinglee Srijumpol,427300000,1.0,0.04
Banda Vingadora,426100000,1.0,0.05
Chung Ha,424700000,Não informado,0.05
December Avenue,424000000,2.0,0.13
Jojo Maronttinni,423000000,1.0,0.03
Aaliyah,422400000,Não informado,0.03
Skylar Grey,421700000,1.0,0.06
K-Ci & JoJo,420400000,1.0,0.11
Jay Rock,419600000,1.0,0.05
Tyrese,418800000,1.0,0.14
Maejor Ali,418300000,1.0,0.03
Anastacia,417900000,Não informado,0.13
Elettra Lamborghini,417100000,1.0,0.05
Onze:20,416100000,Não informado,0.04
Janet Jackson,416000000,Não informado,0.21
Rei,414900000,1.0,0.88
Lil' Kleine,413200000,Não informado,0.03
Veysel,412200000,Não informado,0.06
Toygar Işıklı,411200000,1.0,0.11
Route 94,410200000,1.0,0.11
Sheck Wes,409600000,1.0,0.1
3OH!3,409400000,1.0,0.03
P-HOT,408500000,1.0,0.05
Aastha Gill,404900000,1.0,0.13
Counting Crows,401900000,1.0,0.13
Max Pezzali,400700000,Não informado,0.12
Bella Thorne,400400000,1.0,0.02
Cher,400000000,1.0,0.4
Eypio,399100000,1.0,0.06
Metro Boomin,398600000,Não informado,1.0
Tokio Hotel,398400000,Não informado,0.05
Vanessa Carlton,397900000,1.0,0.09
Eva Simons,396700000,1.0,0.04
Łobuzy,396500000,2.0,0.11
Mario Bautista,395800000,1.0,0.08
Village People,395600000,1.0,0.07
Example,394500000,1.0,0.04
Thegiornalisti,394300000,1.0,0.07
Massive Attack,394000000,Não informado,0.08
Tom Petty,393400000,1.0,0.12
Sarah Connor,391600000,Não informado,0.08
Emeli Sandé,391600000,Não informado,0.04
Grebz,390100000,1.0,0.04
Lamyai Haithongkham,390000000,1.0,0.02
Infinite,388100000,Não informado,0.04
The Band Perry,387900000,1.0,0.05
MC Tati Zaqui,387800000,Não informado,0.02
